Size,Count
185,1.7323937598229686
181,1.7323937598229686
174,1.7242758696007892
190,1.7242758696007892
192,1.7160033436347992
184,1.7160033436347992
195,1.7075701760979363
204,1.7075701760979363
183,1.6901960800285136
205,1.6812412373755872
222,1.6720978579357175
197,1.662757831681574
216,1.6532125137753437
198,1.6532125137753437
199,1.6532125137753437
194,1.6434526764861874
217,1.6334684555795866
209,1.6334684555795866
203,1.6334684555795866
201,1.6334684555795866
213,1.6334684555795866
219,1.6334684555795866
233,1.6334684555795866
200,1.6232492903979006
220,1.6232492903979006
211,1.6127838567197355
206,1.6127838567197355
208,1.6127838567197355
212,1.5910646070264993
229,1.5910646070264993
218,1.5910646070264993
214,1.5910646070264993
202,1.5797835966168101
236,1.568201724066995
225,1.5563025007672873
196,1.5563025007672873
232,1.5563025007672873
253,1.5440680443502757
226,1.5314789170422551
234,1.5314789170422551
252,1.5185139398778875
241,1.5185139398778875
242,1.5185139398778875
237,1.5185139398778875
207,1.5185139398778875
238,1.5185139398778875
228,1.505149978319906
224,1.4913616938342726
210,1.4913616938342726
230,1.4913616938342726
221,1.4913616938342726
227,1.4913616938342726
256,1.4913616938342726
251,1.4913616938342726
215,1.4771212547196624
244,1.4471580313422192
235,1.4313637641589874
223,1.4313637641589874
265,1.4313637641589874
231,1.4313637641589874
268,1.414973347970818
249,1.414973347970818
245,1.3979400086720377
250,1.3979400086720377
261,1.3979400086720377
243,1.3979400086720377
257,1.3979400086720377
262,1.3979400086720377
248,1.3802112417116061
240,1.3802112417116061
263,1.3617278360175928
278,1.3617278360175928
288,1.3617278360175928
280,1.3424226808222062
266,1.3424226808222062
271,1.3424226808222062
270,1.3424226808222062
287,1.3222192947339193
290,1.3222192947339193
247,1.3222192947339193
277,1.3222192947339193
246,1.3222192947339193
267,1.3010299956639813
272,1.3010299956639813
259,1.3010299956639813
283,1.3010299956639813
269,1.3010299956639813
299,1.3010299956639813
297,1.3010299956639813
307,1.3010299956639813
329,1.3010299956639813
260,1.2787536009528289
258,1.2787536009528289
274,1.2787536009528289
295,1.255272505103306
285,1.255272505103306
264,1.255272505103306
273,1.255272505103306
301,1.255272505103306
294,1.255272505103306
293,1.2304489213782739
336,1.2304489213782739
300,1.2304489213782739
284,1.2304489213782739
255,1.2304489213782739
292,1.2304489213782739
313,1.2304489213782739
306,1.2041199826559248
363,1.2041199826559248
281,1.2041199826559248
298,1.2041199826559248
254,1.2041199826559248
330,1.2041199826559248
276,1.1760912590556813
350,1.1760912590556813
239,1.1760912590556813
275,1.1760912590556813
325,1.1760912590556813
303,1.146128035678238
327,1.146128035678238
310,1.146128035678238
312,1.146128035678238
308,1.146128035678238
340,1.146128035678238
296,1.146128035678238
371,1.146128035678238
344,1.146128035678238
282,1.146128035678238
383,1.146128035678238
279,1.1139433523068367
311,1.1139433523068367
286,1.1139433523068367
334,1.1139433523068367
315,1.1139433523068367
318,1.1139433523068367
319,1.1139433523068367
370,1.1139433523068367
322,1.0791812460476249
326,1.0791812460476249
304,1.0791812460476249
428,1.0791812460476249
362,1.0791812460476249
291,1.0791812460476249
356,1.0791812460476249
323,1.0791812460476249
302,1.0791812460476249
349,1.0791812460476249
347,1.0791812460476249
316,1.0791812460476249
341,1.0791812460476249
342,1.0791812460476249
339,1.0791812460476249
317,1.0791812460476249
305,1.0791812460476249
331,1.0791812460476249
289,1.0413926851582251
333,1.0413926851582251
409,1.0413926851582251
397,1.0413926851582251
343,1.0413926851582251
376,1.0413926851582251
351,1.0413926851582251
338,1.0413926851582251
365,1.0413926851582251
324,1.0
320,1.0
321,1.0
373,1.0
358,1.0
367,1.0
407,1.0
437,1.0
411,1.0
314,1.0
357,0.9542425094393249
355,0.9542425094393249
354,0.9542425094393249
494,0.9542425094393249
332,0.9542425094393249
384,0.9542425094393249
390,0.9542425094393249
396,0.9542425094393249
402,0.9542425094393249
446,0.9542425094393249
346,0.9542425094393249
422,0.9542425094393249
374,0.9030899869919435
372,0.9030899869919435
426,0.9030899869919435
369,0.9030899869919435
328,0.9030899869919435
353,0.9030899869919435
361,0.9030899869919435
360,0.9030899869919435
378,0.9030899869919435
444,0.9030899869919435
345,0.9030899869919435
490,0.9030899869919435
366,0.9030899869919435
420,0.9030899869919435
352,0.9030899869919435
415,0.9030899869919435
450,0.9030899869919435
404,0.9030899869919435
385,0.9030899869919435
395,0.9030899869919435
463,0.9030899869919435
399,0.9030899869919435
389,0.9030899869919435
379,0.9030899869919435
401,0.8450980400142568
414,0.8450980400142568
431,0.8450980400142568
447,0.8450980400142568
451,0.8450980400142568
337,0.8450980400142568
359,0.8450980400142568
448,0.8450980400142568
